id;street_address;postal_code;city;state_province
1;perfectly during cop-out;failing often;New Gerardo;far
2;dock even;fisherman shrill;Erdmanborough;round what finished
3;mockingly;discrete trust;South Gustave;inside wheel
4;yowza howl liquid;now;Rippinview;oof enrage
5;cautiously draw dreamily;unless among;Reingerland;incline since triumphantly
6;milestone underneath afore;ugh numeracy save;North Stephan;obligation sweet
7;relative youthfully;drat;East Jeromy;aha inventory
8;order;meanwhile;South Samantha;consequently mmm
9;rue indolent likewise;seafood;North Greenchester;pro ambitious
10;distinction easily yowza;at;San Buenaventura (Ventura);forager furthermore around
